ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
B002RI9176,2025-09-27T05:45:58.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-27T05:37:35.000Z,503700
B00A3D1HAQ,2025-09-27T04:17:00.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-27T04:16:50.900Z,9500
B00A3D1HAQ,2025-09-26T05:00:43.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:43:39.300Z,1024100
B00A3D1HAQ,2025-09-26T04:43:38.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:43:35Z,3900
B00A3D1HAQ,2025-09-26T04:43:33.700Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:25:57.500Z,1056200
B00A3D1HAQ,2025-09-26T04:24:48.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T03:38:17Z,2791900
B002RI9176,2025-09-26T03:35:05.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-26T03:29:09.900Z,355800
B00A3D1HAQ,2025-09-26T03:37:53.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T03:10:00.600Z,1672600
B00A3D1HAQ,2025-09-25T12:57:08.600Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T12:35:06.600Z,1322000
B00A3D1HAQ,2025-09-25T05:20:15.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T04:04:16.700Z,4558700
B00A3D1HAQ,2025-09-25T04:04:16.100Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:58:38.400Z,337700
B00A3D1HAQ,2025-09-25T03:58:36.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:58:27Z,9900
B002RI9176,2025-09-25T04:23:27.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-25T03:58:24.600Z,1502500
